"We use cookies!","Wir verwenden Cookies!"
"Hi, this website uses essential cookies to ensure its proper operation and tracking cookies to understand how you interact with it. The latter will be set only after consent. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">Let me choose</button>","Hallo, diese Website verwendet essenzielle Cookies, um ihren ordnungsgemäßen Betrieb sicherzustellen, und Tracking-Cookies, um zu verstehen, wie Sie damit interagieren. Letztere werden erst nach Ihrer Zustimmung gesetzt. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">Lassen Sie mich wählen</button>"
"Accept all","Alle akzeptieren"
"Reject all","Alle ablehnen"
"Cookie preferences","Cookie-Einstellungen"
"Save settings","Einstellungen speichern"
"Cookie usage 📢","Cookie-Nutzung 📢"
"I use cookies to ensure the basic functionalities of the website and to enhance your online experience. You can choose for each category to opt-in/out whenever you want. For more details relative to cookies and other sensitive data, please read the full <a href=""#"" class=""cc-link"">privacy policy</a>.","Ich verwende Cookies, um die grundlegenden Funktionen der Website sicherzustellen und Ihr Online-Erlebnis zu verbessern. Sie können für jede Kategorie jederzeit auswählen, ob Sie zustimmen oder nicht. Weitere Informationen zu Cookies und anderen sensiblen Daten finden Sie in der vollständigen <a href=""#"" class=""cc-link"">Datenschutzerklärung</a>."
"Strictly necessary cookies","Unbedingt erforderliche Cookies"
"These cookies are essential for the proper functioning of my website. Without these cookies, the website would not work properly.","Diese Cookies sind für die ordnungsgemäße Funktion meiner Website unerlässlich. Ohne diese Cookies würde die Website nicht ordnungsgemäß funktionieren."
"Performance and Analytics cookies","Performance- und Analyse-Cookies"
"These cookies allow the website to remember the choices you have made in the past (such as your username, language, or the region you are in) and provide enhanced, more personal features. They may also be used to provide services you have requested such as watching a video or commenting on a blog. The information these cookies collect may be anonymized and they cannot track your browsing activity on other websites.","Diese Cookies ermöglichen es der Website, sich an die in der Vergangenheit getroffenen Auswahlmöglichkeiten (wie Ihren Benutzernamen, Ihre Sprache oder die Region, in der Sie sich befinden) zu erinnern und erweiterte, persönlichere Funktionen bereitzustellen. Sie können auch verwendet werden, um die von Ihnen angeforderten Dienste bereitzustellen, wie das Ansehen eines Videos oder das Kommentieren eines Blogs. Die von diesen Cookies gesammelten Informationen können anonymisiert werden, und sie können Ihre Browsing-Aktivitäten auf anderen Websites nicht verfolgen."
"Advertisement and Targeting cookies","Werbungs- und Targeting-Cookies"
"These cookies collect information about how you use the website, which pages you visited, and which links you clicked on. All of the data is anonymized and cannot be used to identify you.","Diese Cookies sammeln Informationen darüber, wie Sie die Website nutzen, welche Seiten Sie besucht haben und auf welche Links Sie geklickt haben. Alle Daten sind anonymisiert und können nicht zur Identifizierung verwendet werden."
"For any queries in relation to our policy on cookies and your choices, please <a class=""cc-link"" href=""/contact"">contact us</a>.","Für Fragen im Zusammenhang mit unserer Cookie-Richtlinie und Ihren Auswahlmöglichkeiten kontaktieren Sie uns bitte unter <a class=""cc-link"" href=""/contact"">Kontakt</a>."
"Used to distinguish users.","Zur Unterscheidung von Benutzern."
"Domain","Domäne"
"Expiration","Ablauf"
"2 years","2 Jahre"
"1 day","1 Tag"
