"We use cookies!","쿠키를 사용합니다!"
"Hi, this website uses essential cookies to ensure its proper operation and tracking cookies to understand how you interact with it. The latter will be set only after consent. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">Let me choose</button>","안녕하세요, 이 웹 사이트는 원활한 운영을 위한 필수 쿠키와 상호 작용 방법을 이해하기 위한 추적 쿠키를 사용합니다. 후자는 동의한 후에만 설정됩니다. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">선택하게 해주세요</button>"
"Accept all","모두 수락"
"Reject all","모두 거부"
"Cookie preferences","쿠키 설정"
"Save settings","설정 저장"
"Cookie usage 📢","쿠키 사용 📢"
"I use cookies to ensure the basic functionalities of the website and to enhance your online experience. You can choose for each category to opt-in/out whenever you want. For more details relative to cookies and other sensitive data, please read the full <a href=""#"" class=""cc-link"">privacy policy</a>.","웹 사이트의 기본 기능을 보장하고 온라인 경험을 향상시키기 위해 쿠키를 사용합니다. 원하는 경우 각 카테고리에 대해 원하는 대로 선택할 수 있습니다. 쿠키 및 기타 민감한 데이터에 대한 자세한 내용은 전체 <a href=""#"" class=""cc-link"">개인 정보 보호 정책</a>을 읽어보십시오."
"Strictly necessary cookies","절대 필요한 쿠키"
"These cookies are essential for the proper functioning of my website. Without these cookies, the website would not work properly.","이 쿠키는 웹 사이트의 올바른 작동에 필수입니다. 이러한 쿠키가 없으면 웹 사이트가 올바르게 작동하지 않을 수 있습니다."
"Performance and Analytics cookies","성능 및 분석 쿠키"
"These cookies allow the website to remember the choices you have made in the past (such as your username, language, or the region you are in) and provide enhanced, more personal features. They may also be used to provide services you have requested such as watching a video or commenting on a blog. The information these cookies collect may be anonymized and they cannot track your browsing activity on other websites.","이러한 쿠키를 사용하면 웹 사이트가 이전에 한 선택(사용자 이름, 언어 또는 현재 지역과 같은)을 기억하고 향상된 개인화된 기능을 제공할 수 있습니다. 또한 비디오 시청 또는 블로그에 댓글 달기와 같은 요청한 서비스 제공에도 사용될 수 있습니다. 이러한 쿠키가 수집하는 정보는 익명화될 수 있으며 다른 웹 사이트에서의 브라우징 활동을 추적할 수 없습니다."
"Advertisement and Targeting cookies","광고 및 타겟팅 쿠키"
"These cookies collect information about how you use the website, which pages you visited and which links you clicked on. All of the data is anonymized and cannot be used to identify you.","이러한 쿠키는 웹 사이트 사용 방법, 방문한 페이지 및 클릭한 링크에 대한 정보를 수집합니다. 모든 데이터는 익명화되며 사용자를 식별하는 데 사용할 수 없습니다."
"For any queries in relation to our policy on cookies and your choices, please <a class=""cc-link"" href=""/contact"">contact us</a>.","쿠키 정책 및 선택사항에 관한 모든 질문에 대해서는 <a class=""cc-link"" href=""/contact"">문의</a>해 주시기 바랍니다."
"Used to distinguish users.","사용자를 구분하기 위해 사용됩니다."
"Domain","도메인"
"Expiration","만료"
"2 years","2 년"
"1 day","1 일"
